username,playtime,content,recommended,owned_products,found_helpful
Zheng,8.0 hrs on record,"Posted: August 26
7.4小时，实际玩了不到半小时。到现在连教学都没有过，那破旗舰打完就卡住闪退，几十次了都这样！！！！还退不了款，想买的都想好吧，别入坑。那些好评写那么多字的一看就是托",推荐,,"13 people found this review helpful
2 people found this review funny 1"
十三,0.3 hrs on record,"Posted: August 23
别买！别买！别买！
根本匹不到人！！！！！
买了就是浪费钱",推荐,540 products in account,20 people found this review helpful 0
KowaLski,1.7 hrs on record,"Posted: August 23
Пару часиков поиграл, можно и рефанд оформить, а то когда сервера прикроют, хер кто мне вернет мои бабки.
Спрос на игру в стиме обо всем говорит :)",推荐,,"39 people found this review helpful
4 people found this review funny 0"
N1njah,7.1 hrs on record,"Posted: August 24
I'm having fun. Not worth full price in my opinion but I bought it on sale. I do hope they will get rid of the ship's stamina bar at some point.",推荐,,"55 people found this review helpful
12 people found this review funny 9"
NovaGB,0.8 hrs on record,"Posted: August 25
Product refunded

I bought it on sale, it was slright, refunded and will get it cheaper down the road, its not worth the £20 let alone £60",推荐,"1,604 products in account","28 people found this review helpful
2 people found this review funny 1"
GetOutMyGrill,1.7 hrs on record,"Posted: August 23
Product refunded

very bad. no character depth. the idea is great but the execution is just horrible. get Sea of Thieves instead. I got refund for this. the characters ALL look bad and lazily created.",推荐,,"122 people found this review helpful
6 people found this review funny 3"
S.E.C.,55.1 hrs on record,"Posted: August 26
Long story short, its incomplete as a pirate experience, this is more a smugglers game in the era of pirates, you will not be an actual captain, you will not get swordplay, or parkourish ways to get around, you wont participate in plunders, you will not even get a gun, as a start its halfway decent, but to be what they advertise it to be, its falling short on so many things, down to the story entry point, you dont even get a meaningful crew with some level of bond or trust with one another, you're always cast in the role of helmsman, but referred to as a captain, you will not lead any expeditions, you will not engage in finding crew members in taverns and shady places, there shall be no campfire parties, no loyalty from your crew, if you can even call them that, no pivotal roles in your crews hierarchy, which does not exist, no island explorations, no mystic, no ancient or magical treasures, no fun or engagement beyond sailing which isnt even what pirating revolves around. a sense of freedom, adventure, meeting interesting strangers, or to be lifelong allies are nowhere to be found, they know what a pirate game truly needs since black flag, and they will not give it, this is a stereotypical case of having all the time, resources, and creativity needed, to make an amazing game, and doing absolutely nothing with these things to actually make it happen.",推荐,155 products in account,"20 people found this review helpful
1 person found this review funny 3"
Jack-Dragon,0.9 hrs on record,"Posted: August 23
Po asi roce vydání to teď vyšlo na steamu, bohužel to má stále ty samé neduhy, neustálé načítání cut scén(tady se někdo nepoučil z toho jak to hráči nesnášeli už u starfieldu a tady je to ještě horší) herní postava nemluví.... na dnešní dobu děs běs, boj je docela slabej a dost neohrabanej rozhodně byl lepší ve hře assasins creed black flag, graficky to vypadá divně čekal bych lepší grafiku na dnešní dobu a co se týče zvuků lodě, upřímně hrál sem to chvíli ale když to vemu kolem a kolem, na to že na tom pracovali udajně tolik let žádná sláva, hru sem vrátil",推荐,,"21 people found this review helpful
2 people found this review funny 2"
wiegerdv,2.5 hrs on record,"Posted: August 23
not recommended:
1) need a ubisoft account
2) unless I use a vpn to outside of the netherlands, i cant connect to matchmaking? error: eider-004002
3) progression seems very linear and grindy. it got boring very fast. boarding ships is just an animation and you get 1 extra loot",推荐,,48 people found this review helpful 0
Dog,0.9 hrs on record,"Posted: August 25
Ridiculous, Bought it, tried to play it, cant make it past the video on the 1st level, only due to the Host Disconnected error. Making this time wasted, money eating, piece of half assed trash impossible to play. Would be far less frustrating if i could simply skip the video sequence but they couldn't even steal that from ""black flag"". the fact it has a single player tag is simply a lie if you cant play it offline. I want my money back but i know that wont happen since garbage happens far too often and companies no longer give a damn about their costumers because they have monopolized the system and choke out any chance of a competitor.",推荐,,"65 people found this review helpful
6 people found this review funny 0"
GameOnPantsOff,0.5 hrs on record,"Posted: August 24
Product refunded

Purchased on sale for 60% off.

Had issues from the start where the game was launching in a tiny window, even though settings were set to full-screen/3440x1440. Had to manually mess around and resize the window, to get it to run in full-screen mode.

All cut-scenes are un-skippable.

Also, it turns out that if you've played it during any of the Betas, whatever character you created is the character you are during the full game. No way to delete, remake or start a new game. I get that the game is primarily you in the ship doing sea battles, as there is no ground-side combat, but come on. Forcing people to be stuck with whatever hodgepodge random potato character they made during a beta a year ago is rather asinine.",推荐,,"37 people found this review helpful
3 people found this review funny 1"
不想让你哭,0.5 hrs on record,"Posted: August 23
烂,玩个游戏还强制要你匹配,关键是一直匹配不到人,一直进不去游戏.无语,什么鸡巴设计,哈哈,果断退款",推荐,83 products in account,"20 people found this review helpful
2 people found this review funny 1"
geoffb,0.5 hrs on record,"Posted: August 24
Product refunded

Don't bother!",推荐,,"55 people found this review helpful
2 people found this review funny 0"
SomtideJiāoh1m3,12.4 hrs on record,"Posted: August 24
嗨吼，水手们，扬帆起航咯！
这是一部来自那《加勒比海盗：世界尽头》里由周润发饰演的亚洲海盗之王啸风所在的海域——新加坡的工作室制作的海盗题材海战游戏，真可谓是原汤化原食了，符合了育碧对于纠结文化源头细节的刻板印象！
只不过，被邀请参加了几次测试并在Uplay发行时就购买了的这款《碧海黑帆》，上架Steam后直接打四折，着实有些难绷。


话在序后，游玩本作必备加速器工具。否则就不单单是无法关联到Uplay平台启动，更是无法匹配进入游戏中去咧。UU不仅可为育碧游戏完美加速，保驾护航，它里面的云存档功能更是育碧玩家的贴心小棉袄。就个人而言，因育碧自家云存档功能总是无法备份，而丢失存档的游戏绝不下10个，而这些都只能重打了。说到底还得要外接一个云存档工具，为自己的存档上一道保险！

目前在售版本有普通、高级、白金版。
对于阿育的游戏，购买选项无非就是普通版或白金版，一个是游戏本体的全部完整体验，另一个则是附带着未来一年或几年的内容更新（多一份季票）。
至于中间的那个，向来都是只有一个高级皮肤，看似成为了一名高级游戏用户，实则没有任何有意义的内容。

明朝，我们的海上军事力量可谓是独树一帜，不侵略但也不怕事，纵然西方列强已然工业革命，已然探索殖民，却仍然不敌大明的力量。可是时过境迁，王室迭代，那些曾经拥有恢复王室雄心壮志的大明子民们最终流落到了东南亚，落草为寇，占山为王。而这逐渐地就成了一个令东印度公司头痛的海盗文化象征。
这不，就连成龙的A计划中也有对这些海盗的描述，海盗头子深居简出，可一出手别说是东印度公司，就是连英皇都头疼不已的存在。
有人就有江湖，有江湖便有传说。本作《碧海黑帆》就是抛开了为人熟知的加勒比海、索马里海，选择了少有记录的亚洲海盗为题材，增添了一些神秘感。也是因此，才能在开头动画与角色捏脸时看到了罕见的亚洲面孔。

说回到游戏本身吧。
育碧其实有不少海战游戏的制作经验，如AC黑旗、AC奥德赛，或纪元系列。
为何我会对《碧海黑帆》曾有过非常大的期盼，最主要的原因就是看到了纪元1800的海战，固定侧边架炮，连排发射，最终在一场极为震撼的镜头下击沉敌方战舰，真正的见识到了什么才是海战！当然我也因为自己是一位战舰世界的玩家，更加渴望玩到一款没有钢铁洪流，纯看控制与操作的海战游戏。
但很明显，《碧海黑帆》是失败的，最起码在船只操作上就已经彻底失败了。一艘庞大的风帆战舰，竟可以随意地侧身大幅度快速转弯，可以随意地开炮一挑多艘同规格地英国海军战舰，甚至越级干更大型地英军战列舰。（人家体型更大，炮火更密集，主炮口径更大，你凭什么能打过？）
为了一种快餐式地游戏操作体验，完全抛弃了海战的真实体验，噢，甚至都没有了合理性。让一艘战舰的灵敏度不次于驾驶一辆机车，着实令人汗颜。而这偏偏是它的最为核心玩法，而非像AC奥德赛那样，里头的海战仅为附庸。此外，它还有装备系统，简直就像是一部ARPG一般，船灵活地像个“人”一样，几乎没有代入感。
光是这一点在游戏发售之初就已经失望透顶了。

对于游戏的其它附庸功能，如海盗必存在的贪婪性格导致的寻宝以及贸易，还有上岸以后的一些探索模式，看似合理，也是育碧常用的抠细节手法。只是，那种重复度极高的流水线制作工艺的味，太冲了。在此核心玩法都已经失败告终的基础上，附庸的各类探索玩法，并不能为其多少加分。

不过，最终，我仍然不想给阿育的这款作品直接打上差评。
说到底，我依旧折服于阿育的美工工艺和对抠文化底蕴的细节狂魔，倒也是很享受这种跨越时代的探索之旅。",推荐,,"59 people found this review helpful
1 person found this review funny 0"
WHATNAH78,0.6 hrs on record,"Posted: August 23
Not very fun in my eyes. Maybe my expectation were too high, I was hoping this would be like Sea of Thieves of some sorts but I was totally wrong. Combat is meh. Ship sinking is meh (Extremely Bland sinking animation). So many cut scenes once you start you already start losing interest fairly quickly. Game is also boring. As I saw someone mention it's Ships with a Stamina bar. The game itself had a great idea going for it. I just wish it was more interactive and more immersive. Refunded.",推荐,,74 people found this review helpful 1
_wärlörd_,8.5 hrs on record,"Posted: August 24
UBISOFT não dá a possibilidade de iniciar um novo jogo, criar um novo personagem do zero! Isso frustra a experiência.",推荐,,"15 people found this review helpful
1 person found this review funny 1"
BurnSixSixSix,1.2 hrs on record,"Posted: August 24
This game was not at all what the trailer looked like, I don't like it at all and feel like it was a complete waste of money. If I thought there was any chance to get a refund I would request one. Chalk one up to games I will never play.",推荐,,"30 people found this review helpful
2 people found this review funny 1"
thisisalamename,10.4 hrs on record,"Posted: August 26
Just a bad game. Full stop. The gameplay loop is not fun. It makes me think of a game like destiny, but instead of the gameplay being intriguing gunplay its made up of mindless conversation with an NPC, boring sailing to a location, and unfulfilling combat with a bit of pointless looting sprinkled in there.

I honestly have no idea how such a bad game could possibly be made by such a massive company. Its impressive. I thought ""For 24 bucks I can give it a try"" and its still a waste of money.",推荐,203 products in account,19 people found this review helpful 2
Psychonuker,1.9 hrs on record,"Posted: August 24
Leider muss Ich es sagen:
A Ubisoft Original ich könnte es nicht besser ausdrücken. Ubisoft setzt mit diesem Spiel die Abwärtsspirale definitiv weiter fort.
Obwohl man mit AC 3 und 4 genug Erfahrung in Sachen Schiffe und Gefechte haben sollte gelingt es nicht mich zu fesseln.

Deshalb wieder enttäuscht von UBI und Game refunded.

Keine Kaufempfehlung.",推荐,,"22 people found this review helpful
4 people found this review funny 0"
BoatBoatBoat,0.7 hrs on record,"Posted: August 23
Expensive game, slow loading, bad server

I Waited 30 minutes and still can't access the main game

I want my money back
May your company die and go bankrupt",推荐,,9 people found this review helpful 0
Lord Jabu-Jabu,0.3 hrs on record,"Posted: August 25
Product refunded

An absolute AAAA dumpster fire.",推荐,331 products in account,"57 people found this review helpful
12 people found this review funny 0"
Luit Froops,11.0 hrs on record,"Posted: August 25
I genuinely think this game sucks.",推荐,,"37 people found this review helpful
3 people found this review funny 0"
Last Mile Cult,0.3 hrs on record,"Posted: August 25
Product refunded

Who knows what the full game is like, what i do know is that i wanted more black flag maybe with deeper ship mechanics and rpg elements not this it, reminds me of an 80's game sequel, should have been called Super Black Flag EX Alpha Turbo or maybe Serious Sam on the High Seas, honestly the comparisons to a mobile game is not that far off, it felt like an arcade shooter on the water..... sigh disappointing",推荐,,21 people found this review helpful 0
Scodo,16.3 hrs on record,"Posted: August 25
The game isn't bad. Combat isn't bad. Everything that isn't sailing and combat is cumbersome and puts me off the thought of booting it back up.

The menu designs are really clunky and irritating
You can't track multiple missions or mission objectives at once
If you're just trying to locate a public event on the map there's a good chance you'll accidentally pay silver to fast-travel to it because the fast travel button is the same as the scroll map button.
Acquiring blueprints for new ships and weapons is a hassle and an agonizingly slow drip-feed. The blueprints themselves are scattered around the world and rank-gated to purchase.
The voice acting is ok, but I just wish NPCs would talk less. I don't need to hear the raw material refiner's life story. I don't need to listen to the carpenter wax poetic about logs. You can skip a line at a time, but if you just want to get back to blasting ships, you have to slam the spacebar 20-30 times to get the next quest.
Character animations are somehow both too stiff and too fluid at the same time

Spyglass scouting is neat
Ships look and handle great, behind the captain camera feels great.
Cannons and torpedoes are fun to shoot.
This makes me want a new SMP more than it makes me want to continue playing.

Glad I didn't buy this at full price.",推荐,425 products in account,25 people found this review helpful 0
Cougy,7.3 hrs on record,"Posted: August 26
A soulless and fairly boring game:
-Cities/Settlements feel empty and just thrown in.
-Lack of anything besides ship to ship combat make it tiresome after the thousandth ship sunk.
-No real choice driven character or crew progression; which would have given the player something to work towards.
-Naval combat is okay, but ships are just ugly.
-Hey the ocean and weather are really cool and pretty.
-Commodity overload, do I really need 15 million items in my cargo hold that I have not idea or care about what they are?
-The ""I get to play dress up"" with my pirate and ship felt pointless and way too big of an element in the game.
-Crew needs to sing more shanties.",推荐,,21 people found this review helpful 0
Exambient,8.4 hrs on record,"Posted: August 25
After about 8 hours of playing, I started to feel the grind of the game. The immersion was lost after about 2 hours of gameplay; This was mainly due to shock of my face realizing the size of the playable map. Combat difficulty was plain dumb, all depends on the level of your ship limiting challenging encounters with tougher bosses or captains. No. The game insists on collecting resources, taking the time to return to port to craft, once you complete that, just ram your ship with the appropiate level you currently are at, regardless of the modifications you did to your ship.. Its just taking time from you is the exact purpose of this game.

Cons:
- Slow-paced
- Inability to physically plunder towns -- enjoy the vid, especially the part where the NPC flings the bottles around... like bruh. Dont do that.
- In-person movement, or even just the gameplay where you spend 1/3 of your time on land. Horrible controls, horrible camera, awkward and cringy conversation that everyone has something the ♥♥♥♥ to say to you.
- Grind 4 big ship...

Pros:
- $24 -- The only reason why I got this game. In reality, should cost $15. AAAA my ass",推荐,,15 people found this review helpful 1
Vingaard,21.5 hrs on record,"Posted: August 25
¿Podrían haberlo hecho mejor con la de tiempo que llevan desarrollandolo?... SI... ¿Deberian haberse currado más los abordajes o dejarlos simplemente como en Black Flag?... SI... ¿Me lo estoy pasando pipa reventando barcos y saqueando?... SIIIIIIIII

Por cierto, funciona sin problemas a unos 40fps más o menos estables en SteamDeck",推荐,,"12 people found this review helpful
1 person found this review funny 0"
⚡️𝕯𝖒𝖌⚡,0.6 hrs on record,"Posted: August 26
Product refunded

Jogo horrível, gráfico atrasado, otimização porca, física e movimentações digno de stúdio pequeno.
Não consegui jogar mais que uma hora. Jogo totalmente dispensável.
Fizeram o jogo por 10 anos e saiu um lixo. Feito nas cochas",推荐,171 products in account,"11 people found this review helpful
2 people found this review funny 0"
EvilClone28,1.5 hrs on record,"Posted: August 26
Product refunded

It wouldn't stop crashing for me even on relatively low graphics settings that my PC could easily handle. Also it takes a super long time to matchmake when you load in and I had issues with getting into a lobby with my friends because it was very buggy.",推荐,475 products in account,"12 people found this review helpful
1 person found this review funny 0"
Zͥeͭtͫyͤ,1.7 hrs on record,"Posted: August 23
My First Hour in Skull and Bones

Upon clicking play, I waited around 5 minutes for the third-party Ubisoft launcher to load and update. Then I had to sign in, and it asked for a product key. After canceling out of that menu, I had to click play again. This time, the game launched after BattleEye loaded. I loaded into the game quickly after that, only to be met with an unskippable cutscene. I then had to agree to a ""play nice, play fair, play safe"" prompt, or else I couldn't play.

I clicked play on the main menu and had to sit through another unskippable cutscene. I was having a somewhat good time destroying the small enemy ships, but then I ran into the bigger boss ship that was as spongy as a Division boss. I got 6 minutes of gameplay before another unskippable cutscene. Then I got the longest loading screen yet, which led to another cutscene. During this tutorial phase, pausing did not actually pause the game, but if you paused during a cutscene, that cutscene would pause.

After that 4 and a half minute cutscene, I got to a character creator that was less interesting than the Division’s. Don’t worry, you can put facial hair on your female character (icky). At least I could skip the dialogue now. When I entered the social hub, the players running around were super buggy—floating and flying all over the place.

After running around and skipping dialogue for about 6 minutes, I finally got to edit my ship after another loading screen.

You can't name your ship ""c0ck_cruncher,"" ""weiner_eater,"" or ""UbiRichardRider."" ""Muncher"" is a banned word in general. I settled for ""Richard_Sitter."" I accidentally disembarked three times while trying to sail away and had to wait through agonizing loading screens. I was shocked when I realized my ship had a stamina bar.

I attacked NPC ships and ""boarded"" them, which just triggered a loot-box-esque menu where I could choose what generic items to take. At one point, some dolphins jumped out of the water next to my ship, and I thought it was another ship firing at me—I’m not sure if it was a player, but I sank it anyway. This gave me a wanted level that seemed like it was trying to imitate GTA, but nothing happened, and it just went away after a while.

I then sailed across the sea to a big X on the map, only to find out it was my marker that I didn’t realize I had set, and not treasure.


This game is AAAA in name (and maybe in a graphical sense? I didn’t play with the settings turned up all the way) only.

It makes sense why they heavily discounted it for its Steam release (where it should have released in the first place). I’m on the fence about refunding it, as I got a bit of dopamine from sinking ships (a single, measly drop of dopamine is all I need in life), although the sinking animation is the exact opposite of Sea of Thieves—lifeless and emotionless. But I wouldn’t pay full price for this game in a million years, let alone consider the premium edition.

Pirates: The Legend of Black Kat from 2002 for the Original Xbox and PlayStation 2 is more of a AAAA game than this. Also, if you ever need to contact Ubi support for help with any issue, you’d get better assistance letting your cat lick you clean with its sandpaper tongue.",推荐,"1,183 products in account","165 people found this review helpful
13 people found this review funny 21"
NeoTheMatrix,14.3 hrs on record,"Posted: August 24
Product received for free

Makes unfinished game ''Epic exlusive"", 4 months later adds it on steam - whatt happened eh? i guess no players was who played, so needed money :D",推荐,,"43 people found this review helpful
5 people found this review funny 1"
Salem Black,0.6 hrs on record,"Posted: August 26
Product refunded

came, saw that i could't join the game with the matchmaking for an hour, refunded without being able to even play.
FFFF game from ubisoft",推荐,,24 people found this review helpful 0
ArtemLetsGamer,1.1 hrs on record,"Posted: August 23
Product refunded

Поиграл 1 час, оформил рефанд, не советую по такой цене, даже с учётом скидки",推荐,,"30 people found this review helpful
1 person found this review funny 1"
SunkistMan,1.7 hrs on record,"Posted: August 26
Several major gripes.

Lack of cutscene skipping. Having cutscenes hide loading times is fine. Just let us ♥♥♥♥♥♥♥ skip them when the loading is done.
If I have to turn dialogue down to 0 to avoid ♥♥♥♥♥♥ voice acting then your story is ♥♥♥♥
WHOEVER MADE BOAT STAMINA BARS A THING ♥♥♥♥ YOU

Go play world of warships if you want some good boat fighting. Its free.",推荐,678 products in account,"36 people found this review helpful
4 people found this review funny 3"
I am .....,3.7 hrs on record,"Posted: August 24
Если вы любитель открытых миров, собирания всего и вся и пиратской тематики, то можете попробовать, и то, не ждите от игры многого, уж точно не тех обещаний и пиара что юбики активно вливают в уши про свои игры. Цена за этот АААА проект даже с учетом скидки завышена. Сюжета как таковой нет, развлекайте себя сами, хотя по первому времени это вполне получается, потом приедается.",推荐,,20 people found this review helpful 0
Gio,0.6 hrs on record,"Posted: August 23
non è possibile fare una partita.. assurdo ogni volta che fa una ricerca di server con il matchmaking esce sempre un errore. Inoltre perchè non usate Easy Anticheat che è molto più semplice e meno invasivo.. è iniziato proprio male sto gioco",推荐,561 products in account,13 people found this review helpful 1
The Stinky Stinker!!!,9.1 hrs on record,"Posted: August 26
I'll be real here. This ain't the best game of the year, it maybe even the last few years, maybe even the last ten. Maybe this game isn't even enjoyable and the worms finally got the rest of my brain. I've been having fun with it. It's fun to just hop in and blow some ♥♥♥♥ up, now that I understand what I am doing.

In essence, you sail around and shoot stuff with a boat. No land combat, all boats. Pretty straightforward, RPG style progression bs, season pass, usual ubisoft evasiveness. This game is in no way worth 60-70-80 whatever the asking price was at start, but for 20 bucks? Hell yeah. If you can get past the ass ubisoft ♥♥♥♥ (A high barrier, I admit) I think it is worth 20 bucks to engage in casual boat ♥♥♥♥♥♥♥.

Do not buy this game if you are expecting anything remotely realistic. ♥♥♥♥♥♥♥ sea of thieves is a more realistic depiction of naval combat.",推荐,,"34 people found this review helpful
4 people found this review funny 6"
BadassRocketsTV,0.7 hrs on record,"Posted: August 24
First install, blue screen

Then when it did launch, stuck at ""Matchmaking""

Unplayable so far

Can't even have a shaved option while carrying various sharp tools that could do the job

I could not remember anything about how to play it when it finally did start

No idea what is valuable or trash

Game lacks being intuitive

Went to go launch for combat, but faced another menu of stuff I didn't understand

Exited the game, haven't played since.",推荐,414 products in account,24 people found this review helpful 0
Imrür,0.5 hrs on record,"Posted: August 23
4A This?
People need to stop being Ubisoft bots...

It's just ♥♥♥♥, go play Assassin's Creed Black Flag, it will be a lot better than this. (Mirage sucks)

So lazy to make all the negative points but hey, you should already know them. Even devs know them...",推荐,335 products in account,64 people found this review helpful 3
TitusAmericanus,1.5 hrs on record,"Posted: August 25
58 min on the clock and not one second in the game. Can't get past the Ubisoft login. So far this game sucks.",推荐,90 products in account,"21 people found this review helpful
3 people found this review funny 0"
MED\\\,13.7 hrs on record,"Posted: August 24
Отвратительное мыло, очень нудная",推荐,565 products in account,17 people found this review helpful 0
ReignFire,0.4 hrs on record,"Posted: August 26
Product refunded

wanted to love it. absolutely hated it.

so bad that it's the 1st game i've ever refunded.

from the get go combat is tedious, and the story is pathetic.",推荐,,"28 people found this review helpful
1 person found this review funny 0"
nerveclasp,0.5 hrs on record,"Posted: August 24
Did not even start on my gaming Asus laptop. Shame",推荐,,"9 people found this review helpful
3 people found this review funny 0"
Mœw,1.6 hrs on record,"Posted: August 25
Yep, it's Ubislop and yet with the amount of f2p mechanics integrated this game shouldn't even be a paid title.",推荐,429 products in account,"16 people found this review helpful
1 person found this review funny 0"
Bontai,1.1 hrs on record,"Posted: August 24
Product refunded

Tried a second time to get into the game and forgot how boring and tedious it is.

Also how hard is it to implement fast travel when out at sea too main docks.

Skip this game and wait for a new Assassin Creed with ship mechanics similar to the 4th game!",推荐,,"41 people found this review helpful
4 people found this review funny 0"
Tetranecros,29.5 hrs on record,"Posted: August 24
Ce jeu souffre d'une chose : les reviews des kévins qui se pensent testeurs de jeux vidéos et qui le comparent à Sea of Thieves. C'est à peu près comme comparer Ace Combat avec Flight Simulator et pleurer qu'on peut pas faire les même choses.

En vrai, je me suis plus amusé que sur Sea Of Thieves.

Pourquoi ?
Parce que malgré tout, Ubisoft a compris que le JcJ n'était pas obligatoire,
parce que jouer 7-8h et tout perdre, c'est pas marrant mais frustrant,
parce que le combat naval, c'est pas se catapulter sur le bateau ennemi et tuer les joueurs en boucle,
parce que si on voulait jouer à une simulation de manoeuvre de navire, on jouerait à ship simulator,
parce qu'on a pas de bug qui nous fait catapulter et retomber dans les airs,
parce qu'on peut faire un jeu sans passer par unreal engine ou unity,
parce que même si ubisoft est une machine à fric, ils peuvent encore nous surprendre et rajouter du contenu.

Y'a certainement plein de choses que j'oublie. Ah, si, Ubisoft ne m'a pas encore insulté, contrairement a Rare.

Pour en revenir aux glandus des sites de reviews, arrêtez de faire vos tests à charge et faites le à décharge, si vous étiez honnête, vous auriez également comparé avec Naval Action et Blackwake ou Bucanneer. Le seul point sur lequel je suis d'accord avec ces glandus, c'est que ce jeu n'est pas un AAAA et ne vaut en réalité qu'une 30ène d'euros.

Edit : Je lis d'autres reviews de glandus. Un au pif à mis 3/10 au jeu parce que l'histoire est bof et le jeu possède des quêtes fedex. Je fais le feed de ce garçon : 9/10 pouor WoW. L'histoire est mieux et y'a moins de quête fedex dans WoW ? Première nouvelle.

J'en prends une autre : Je préfère Sea Of Thieves, y'a pas de contenu dans Skull & Bones. (Non, y'a juste plus de 10 bateaux, contrairement aux trois de SoT, des canons différents en fonction de ce que tu préfères. C'est les missions qu'il te manque ? Va chasser ou piller une route marchande dans Sea Of Thieves. Ah pardon, tu peux pas, ça n'existe pas.)

Allez, pour le fun, j'en prends une troisième (J'aime me faire du mal) : Y'a que Sea Of Thieves avec lequel ce jeu est comparable. On l'a déjà dit plus haut, y'a Naval Action, Blackwake, ... Y'a même un remake un peu foireux de Sea Dogs (même si j'adore ce jeu.).

J'adore taper sur ubisoft quand ils font n'importe quoi. Je suis le premier à leur démolir la tronche, mais là, le seul argument qui est valable c'est : votre jeu est techniquement dépassé et ne vaut pas plus de 30€. C'est tout.",推荐,698 products in account,"113 people found this review helpful
16 people found this review funny 63"
Monsteri,23.4 hrs on record,"Posted: August 24
Tämä peli on vaan paska. Tai sitten ehkä ei.

Ainoa asia joka tässä pelissä on hyvää, on seilaaminen. Meri on tehty hienosti ja laivalla seilatessa kun sitä katsoo sieltä kapteenin näkökulmasta ruorin takaa, niin siinä on tunnelmaa. Seilaamisesta ja merestä olenkin tykännyt niin paljon, että olen tätä jaksanut pelata.
Nyt kun olen pelannut paljon pidemmälle, on peliin jotenkin innostunut muutenkin. Edelleen moni moni asia kuitenkin vaivaa ja välillä on pakko kysyä, miksi?

Laivataistelu on arcadepaskaa. Boarding ei oikeastaan ole laivanvaltausta vaan enemmänkin sitä että heität tarpeeksi huonolla healtillä olevaan laivaan köydet eli entraushaat niin että saat siitä kiinni, siinä se sitten on.
Voit lootata laivan, ei miekkailua ei taistelua. Miehistö tuntuu vain luovuttavan samantien.
Vihollislaiva uppoaa aina. Sitä ei voi kaapata esim omaan käyttöön tai myytäväksi. Ainoa ero siinä että ampuu laivan upoksiin tai boardaa sen tuntuu olevan lootin määrä. Tästä herääkin kysymys. Miksi? Miksi ei ole nähty sitä vaivaa joka on nähty monen monen pikku yksityiskohdan hiomiseen ja tehty kunnollista laivan valtausta, samoin kuin kaupungin valtaukseenkin olisi voitu liittää maataistelut musketteineen ja miekkoineen. Seilatessa laivaan on kuitenkin tehty kaikenlaista hienoa, miehistöä puhkeaa laulamaan aika ajoin ja heitä voi pyytääkkin laulamaan. Silloin tällöin merimetso laskeuttuu ohi lentäessää ruorikoneiston päälle jne.
Siitä olennaisesta asiasta on tehty loppujenlopuksi helvetin tylsää. Sitten kuitenkin on pakko myös myöntää, että suoraviivaisessa ja nopeassa meritaistelussa on myös hyötynsä. Kun pelaat pidemmälle ja olet isommalla laivalla liikenteessä, ei vain jaksa jokaisen pikkupurtilon vuoksi vaivautua. silloin on helpompaa vain ohimennessään ampua täysilaidallisella purtilo upoksiin ja kerätä pikanäppäimellä kelluvat roinat matkaan sen kummemmin edes hidastamatta matkantekoa.
Immersiota se ei kuitenkaan lisää.

Sitten epäolennaiset asiat, kuten maissa liikkuminen, laivan värkkääminen paremmaksi ja kaupankäynti jne. Kaikki valikot ja systeemit on tehty helvetin monimutkaiseksi juuri näissä pelin kannalta epäolennaisissa asioissa. Kaikki pitää graftata itse. Laivakin graftataan niistä roinista mitä olet onnistunut arcade seilauksellasi haalimaan. Kun peliä pelaa pidemmälle, alkaa kaikessa olla jonkinasteista logiikkaa ja järkeä ja huomaa, että peli tekee ihan älyttömän huonon selostuksen pelaajalle siitä mitä mikäkin merkitsee. Koska pelin pelaamisen tyyli on enemmänkin sellainen nopeatempoinen arcade räiskintä kuin roolipelaaminen, on ainakin itsellä myös vain kokoajan kiire johonkin muualle ja moni teksti yms jää sen vuoksi lukematta tarkemmin. Vasta pitkän ajan päästä huomaa, että ahaa, tuota varten pitää tehdä nuin.

Vaikka tässä on nyt tullut vähän ristiriitainen kuva pelistä en siltikään katso että sitä voisi suositella. Itse ostin steam alesta ja suosittelen ostamaan tämän vain alennuksesta. ihan kivaakin voi olla, mutta jos se seilaaminen ei ole hauskaa niin unohda kokonaan.
Tähän kun vielä päälle heitetään se että peli on alusta asti ollut buginen eikä sitä vieläkään ole korjattu. (Tämähän on ollut jo vaikka kuinka kauan Bugisoftin omalla kauppapaikalla.)
Esim. bugi joka estää pelaajia saamasta käyttöönsä ollenkaan mitään kosmetiikkaa kapteenille, miehistölle tai edes laivalle. Jos voit vaihtaa vaatteesi tai koskemiittaa laivallesi niin olet niitä onnekkaita joiden peli ei ole rikki.
Muitakin melko massiivisia grafiikkabugeja on edelleen. Välianimaatiossa hahmo juo näkymättömästä viinapullosta, eikä siinä mitään muuten mutta tuon kohtauksen kannalta juuri se pullo on ikäänkuin pääosassa.
Laivan miehistö kiipeilee välillä ihan missä sattuu. Toisaalta se tuo myös huvittavaa vaihtelua merimatkalle kun näkee kaverin laskeutuvan mastosta alas ja sukeltävän pääedellä laivan alle. Ärsyttävämpää on kun laivasi häviää kartalta, etkä tiedä missä olet.
Nämä vain muutamia mainitakseni.",推荐,,6 people found this review helpful 0
